               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.030787,            0.017735,           0.0027397,             0.78389,             0.77298,             0.78599,             0.49706,            0.031509,            0.012745,           0.0046246,            0.006139,            0.006139,            0.006139
                  80,            0.030268,            0.017652,           0.0025344,              0.7723,             0.79803,             0.79668,             0.49472,            0.031657,            0.012668,           0.0044123,           0.0060895,           0.0060895,           0.0060895
                  81,             0.03034,            0.017475,           0.0024563,             0.77139,             0.78572,             0.79185,             0.50044,            0.031754,            0.012594,           0.0040102,             0.00604,             0.00604,             0.00604
                  82,            0.030241,            0.017544,           0.0027282,             0.78473,             0.78221,             0.79146,             0.49941,            0.031457,            0.012641,           0.0045988,           0.0059905,           0.0059905,           0.0059905
                  83,            0.030083,            0.017221,           0.0024588,             0.79267,             0.78783,              0.7971,             0.49965,            0.031039,            0.012616,           0.0047477,            0.005941,            0.005941,            0.005941
                  84,            0.030204,            0.017478,           0.0025067,             0.78783,              0.7889,              0.7946,             0.49882,            0.031399,            0.012698,           0.0044359,           0.0058915,           0.0058915,           0.0058915
                  85,            0.030246,            0.017712,           0.0026822,             0.77832,              0.7831,             0.79284,             0.50321,            0.031165,            0.012678,           0.0044783,            0.005842,            0.005842,            0.005842
                  86,            0.029831,            0.017428,           0.0025432,             0.78312,             0.79347,             0.79876,             0.50383,            0.030741,            0.012636,           0.0045164,           0.0057925,           0.0057925,           0.0057925
                  87,            0.029677,            0.017103,           0.0024364,             0.78408,             0.79344,             0.80286,             0.51007,            0.031002,            0.012627,           0.0048783,            0.005743,            0.005743,            0.005743
                  88,            0.029653,            0.017126,           0.0025139,             0.79238,             0.78435,             0.79497,             0.50745,            0.030775,              0.0125,           0.0044288,           0.0056935,           0.0056935,           0.0056935
                  89,             0.02976,            0.017321,           0.0023197,             0.79557,              0.7935,             0.80282,             0.51396,            0.030936,            0.012601,           0.0042423,            0.005644,            0.005644,            0.005644
                  90,              0.0293,            0.017195,           0.0023167,             0.80031,             0.78488,             0.79939,             0.50917,            0.030851,            0.012522,           0.0042077,           0.0055945,           0.0055945,           0.0055945
                  91,            0.029486,            0.017149,           0.0022241,             0.79401,             0.79535,             0.79979,             0.50986,            0.030917,            0.012526,           0.0041449,            0.005545,            0.005545,            0.005545
                  92,            0.029365,            0.017057,           0.0023022,              0.7763,             0.79336,             0.79747,             0.51004,             0.03073,            0.012597,           0.0042981,           0.0054955,           0.0054955,           0.0054955
                  93,            0.029079,            0.017211,           0.0020099,             0.77858,             0.79047,             0.79602,             0.51009,            0.030702,            0.012692,           0.0050544,            0.005446,            0.005446,            0.005446
                  94,            0.029167,            0.016611,           0.0023127,             0.77824,             0.78948,             0.79664,             0.51051,            0.030913,            0.012645,           0.0055637,           0.0053965,           0.0053965,           0.0053965
                  95,            0.028882,              0.0168,           0.0020035,             0.78947,             0.79282,             0.80179,             0.50936,            0.030743,            0.012718,           0.0048821,            0.005347,            0.005347,            0.005347
                  96,            0.028736,            0.016841,           0.0019665,              0.8016,             0.77597,             0.79841,             0.50763,            0.030405,            0.012755,           0.0048001,           0.0052975,           0.0052975,           0.0052975
                  97,            0.029039,            0.016581,           0.0023182,             0.78507,             0.79854,              0.7998,              0.5127,            0.030599,            0.012746,           0.0048243,            0.005248,            0.005248,            0.005248
                  98,            0.028872,            0.016696,           0.0020376,             0.79027,              0.7924,             0.80251,             0.51816,            0.030461,            0.012802,           0.0045361,           0.0051985,           0.0051985,           0.0051985
                  99,            0.028948,            0.016794,           0.0022739,             0.79133,             0.78497,             0.79977,             0.51891,            0.030364,             0.01279,           0.0045502,            0.005149,            0.005149,            0.005149
                 100,            0.028801,            0.016815,           0.0020237,             0.79522,             0.78393,             0.80136,             0.51633,            0.030509,            0.012799,           0.0046874,           0.0050995,           0.0050995,           0.0050995
                 101,              0.0287,            0.016529,             0.00217,             0.79587,             0.78818,             0.80076,             0.51314,            0.030476,            0.012829,           0.0048606,             0.00505,             0.00505,             0.00505
                 102,            0.028702,            0.016492,           0.0021175,             0.79605,             0.78782,             0.80165,             0.51647,            0.030401,            0.012852,           0.0044335,           0.0050005,           0.0050005,           0.0050005
