               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.037431,            0.025229,           0.0038215,              0.7523,             0.78736,             0.81711,             0.50195,              0.0348,            0.016176,           0.0030293,            0.005644,            0.005644,            0.005644
                  68,            0.037198,            0.024936,           0.0040164,             0.78027,             0.81981,             0.83414,             0.53265,            0.033273,            0.015728,           0.0025017,            0.005578,            0.005578,            0.005578
                  69,            0.036671,            0.025222,           0.0035936,               0.831,             0.78532,             0.83514,             0.51979,            0.033868,            0.015741,           0.0027923,            0.005512,            0.005512,            0.005512
                  70,            0.036652,              0.0248,           0.0040017,             0.76612,             0.80547,             0.83158,             0.52875,            0.033861,            0.016068,           0.0024412,            0.005446,            0.005446,            0.005446
                  71,            0.036922,            0.025236,           0.0037068,             0.72963,             0.82606,             0.83079,             0.52698,            0.033422,            0.015605,           0.0023904,             0.00538,             0.00538,             0.00538
                  72,            0.036281,            0.023941,           0.0038309,             0.76488,             0.78632,             0.82317,             0.52163,            0.033826,            0.016005,           0.0025612,            0.005314,            0.005314,            0.005314
                  73,            0.036218,            0.025002,           0.0037733,             0.80732,             0.73582,             0.81833,             0.51438,            0.033894,            0.016233,           0.0030109,            0.005248,            0.005248,            0.005248
                  74,            0.035875,            0.024354,           0.0037875,             0.81055,             0.75162,             0.83442,             0.52466,            0.033294,            0.015693,           0.0027533,            0.005182,            0.005182,            0.005182
                  75,            0.036327,            0.024414,           0.0035754,             0.78565,             0.78408,             0.82796,             0.52426,            0.033738,            0.015789,           0.0022671,            0.005116,            0.005116,            0.005116
                  76,            0.035927,            0.024621,           0.0033934,             0.80842,             0.73662,             0.82419,             0.51658,            0.033326,            0.015761,           0.0026354,             0.00505,             0.00505,             0.00505
                  77,            0.035965,            0.024825,           0.0033239,             0.73242,             0.82391,             0.83365,             0.53507,            0.033192,            0.015635,           0.0023638,            0.004984,            0.004984,            0.004984
                  78,            0.035633,            0.024589,           0.0032027,             0.75363,             0.81128,             0.83486,             0.53418,            0.032992,            0.015505,           0.0028274,            0.004918,            0.004918,            0.004918
                  79,            0.035084,            0.024644,           0.0030941,               0.752,              0.8303,             0.83571,             0.53399,            0.032968,            0.015589,           0.0024834,            0.004852,            0.004852,            0.004852
                  80,            0.035072,            0.023556,           0.0034293,             0.75882,             0.82046,             0.83663,             0.53488,            0.032859,            0.015891,           0.0022957,            0.004786,            0.004786,            0.004786
                  81,            0.035311,            0.023729,           0.0032656,             0.80168,             0.76025,             0.82516,             0.53074,            0.033922,             0.01573,           0.0025243,             0.00472,             0.00472,             0.00472
                  82,            0.034781,            0.024063,           0.0032706,              0.7622,             0.80288,             0.83128,             0.52462,            0.033011,            0.015733,           0.0029004,            0.004654,            0.004654,            0.004654
                  83,            0.034728,            0.023853,           0.0031154,              0.8012,             0.78195,             0.82884,              0.5293,            0.033397,            0.015718,           0.0027863,            0.004588,            0.004588,            0.004588
                  84,            0.034857,            0.024159,            0.003047,             0.75331,               0.806,             0.83271,             0.53192,            0.032759,            0.015582,           0.0026069,            0.004522,            0.004522,            0.004522
                  85,            0.034651,            0.023214,           0.0031451,             0.75862,              0.8242,             0.84412,             0.53426,            0.032623,            0.015358,           0.0019826,            0.004456,            0.004456,            0.004456
                  86,            0.033981,            0.023601,           0.0032149,             0.75152,             0.83276,             0.84202,             0.53929,             0.03281,            0.015664,           0.0023217,             0.00439,             0.00439,             0.00439
                  87,            0.034212,             0.02421,           0.0030124,             0.78947,             0.83146,             0.84207,             0.54923,            0.032881,            0.015467,           0.0022731,            0.004324,            0.004324,            0.004324
                  88,            0.034506,            0.024114,           0.0028474,             0.78063,             0.81927,             0.84341,             0.53787,             0.03359,            0.015663,           0.0022245,            0.004258,            0.004258,            0.004258
                  89,            0.034291,            0.023687,           0.0027761,             0.80633,             0.83221,              0.8495,             0.55444,            0.032841,            0.015204,            0.002275,            0.004192,            0.004192,            0.004192
